month,year,gov_gov_gold,gov_gov_matcf,gov_gov_matcp,gov_gov_vercf,gov_gov_vercp,gov_ios_gold,gov_ios_matcf,gov_ios_matcp,gov_ios_vercf,gov_ios_vercp,gov_opp_gold,gov_opp_matcf,gov_opp_matcp,gov_opp_vercf,gov_opp_vercp,gov_par_matcp,gov_par_vercf,gov_soc_matcp,gov_soc_vercf,gov_sta_matcp,gov_sta_vercf,gov_usa_gold,gov_usa_matcf,gov_usa_matcp,gov_usa_vercf,gov_usa_vercp,ios_gov_gold,ios_opp_gold,ios_soc_gold,opp_gov_gold,opp_gov_matcp,opp_gov_vercf,opp_gov_vercp,opp_ios_gold,opp_ios_matcp,opp_ios_vercf,opp_ios_vercp,opp_opp_gold,opp_opp_matcp,opp_opp_vercf,opp_opp_vercp,opp_par_gold,opp_par_matcf,opp_par_vercp,opp_soc_gold,opp_soc_matcf,opp_soc_vercp,opp_sta_gold,opp_sta_matcf,opp_sta_vercp,opp_usa_gold,opp_usa_matcp,opp_usa_vercf,opp_usa_vercp,par_opp_gold,par_par_gold,par_sta_gold,par_usa_gold,soc_gov_gold,soc_ios_gold,soc_soc_gold,soc_sta_gold,soc_usa_gold,sta_gov_gold,sta_opp_gold,sta_par_gold,sta_soc_gold,usa_gov_gold
1.0,2000.0,281.6,22.0,32.0,34.0,145.0,7.0,0.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,29.0,21.0,22.8,1.0,1.0,0.0,5.0,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.2,0.0,-1.5,0.0,0.0,299.9,0.0,0.0,0.0,15.0
2.0,2000.0,255.9,14.0,21.0,39.0,160.0,90.0,2.0,6.0,7.0,25.0,3.4,0.0,0.0,0.0,1.0,0.0,2.0,5.0,15.0,27.0,26.0,6.0,0.0,1.0,0.0,1.0,97.4,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.3,0.0,-3.6,-3.4,0.0,346.9,0.0,0.0,7.0,-4.2
3.0,2000.0,481.1,17.0,20.0,31.0,255.0,23.9,0.0,3.0,5.0,11.0,6.8,0.0,0.0,0.0,2.0,0.0,1.0,12.0,6.0,8.0,10.0,21.2,0.0,2.0,0.0,7.0,32.5,0.0,-2.0,-14.1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.3,0.0,9.4,15.3,0.0,307.8,0.0,0.0,4.9,36.6
4.0,2000.0,373.3,19.0,16.0,21.0,191.0,37.9,0.0,3.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,10.0,22.0,21.0,-10.0,0.0,0.0,2.0,0.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.5,0.0,0.0,0.4,0.0,213.9,0.0,0.0,-10.0,5.0
5.0,2000.0,426.0,23.0,16.0,46.0,225.0,39.0,0.0,0.0,0.0,8.0,-11.5,0.0,0.0,6.0,7.0,0.0,3.0,3.0,6.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,42.1,0.0,0.0,-18.7,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.8,0.0,-5.6,0.0,0.0,274.4,0.0,0.0,0.0,3.0
6.0,2000.0,669.5,12.0,16.0,38.0,284.0,17.7,1.0,2.0,0.0,6.0,-15.4,6.0,1.0,3.0,12.0,1.0,0.0,5.0,5.0,11.0,4.0,-2.4,2.0,1.0,0.0,3.0,15.0,0.0,0.0,11.3,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,0.0,-0.6,0.0,0.0,114.6,0.0,0.0,-5.0,-14.8
7.0,2000.0,691.2,16.0,24.0,34.0,264.0,58.8,1.0,6.0,0.0,10.0,3.0,0.0,0.0,1.0,3.0,1.0,1.0,8.0,7.0,17.0,14.0,28.0,0.0,0.0,1.0,7.0,21.6,0.0,0.0,15.2,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,0.0,-7.6,7.0,0.0,307.2,0.0,0.0,0.0,38.6
8.0,2000.0,93.4,20.0,19.0,18.0,101.0,4.2,1.0,0.0,5.0,8.0,-11.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,7.0,14.0,4.7,0.0,0.0,0.0,2.0,3.4,0.0,0.0,-6.5,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,25.5,0.0,-8.0,0.0,0.0,106.0,0.0,0.0,0.0,4.7
9.0,2000.0,164.1,6.0,10.0,34.0,122.0,1.3,3.0,1.0,4.0,13.0,-2.0,0.0,0.0,0.0,1.0,0.0,6.0,4.0,7.0,9.0,12.0,-7.1,1.0,1.0,1.0,4.0,43.5,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.3,0.0,51.6,-1.0,0.0,131.4,0.0,0.0,4.0,-9.0
10.0,2000.0,247.3,17.0,19.0,30.0,147.0,33.4,1.0,5.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,15.0,10.0,0.0,0.0,0.0,2.0,18.1,0.0,0.0,-0.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.9,0.0,14.0,0.0,0.0,117.4,0.0,0.0,0.0,11.0
